Information Visualization,statistical,mathematics,drawing & artistic,computer usage,programming,graphics,hci,experience evaluation,communication,collaboration,code repository,Alias
4,3,3,4,10,4,6,4,3,6,10,6,Hannah Abbott 
4,8,6,4,7,6,4,4,1,10,5,9,Ludo Bagman 
3,2,3,4,8,6,1,4,3,6,10,5,Bathilda Bagshot 
8,3,6,6,8,10,5,5,4,4,4,8,Katie Bell 
6,5,6,4,9,8,8,6,4,7,7,8,Cuthbert Binns
3,5,6,1,7,7,1,3,4,7,8,2,Phineas Nigellus Black
2,3,5,4,7,4,1,2,3,5,5,3,Sirius Black
5,3,7,2,9,4,1,3,4,9,7,7,Amelia Bones 
3,4,4,5,9,6,3,5,4,7,8,5,Susan Bones 
1,3,5,7,9,6,1,4,3,7,8,8,Terry Boot
2,2,4,5,5,5,1,3,2,7,8,3,Lavender Brown
3,1,6,5,5,2,4,3,4,6,4,1,Millicent Bulstrode
5,3,4,8,8,7,1,4,4,7,8,8,Charity Burbage
2,2,4,1,5,5,1,3,3,8,8,2,Frank Bryce
4,5,8,4,9,7,5,4,3,9,4,7,Alecto Carrow
5,1,5,9,9,5,5,5,5,10,10,5,Amycus Carrow
2,4,5,7,10,7,6,6,8,10,10,5,Reginald Cattermole
2,2,4,1,6,5,1,4,2,10,7,9,Mary Cattermole 
4,2,5,1,7,5,5,5,3,8,8,6,Cho Chang 
2,4,2,4,5,5,2,2,4,8,5,3,Penelope Clearwater 
2,6,5,7,4,1,1,2,8,10,9,7,Michael Corner
3,3,7,3,7,3,1,3,1,7,10,6,Vincent Crabbe
4,7,7,6,7,5,2,2,3,9,9,2,Colin Creevey
2,7,7,9,9,8,4,9,8,9,9,9,Fleur Delacour 
6,5,6,1,7,7,8,7,9,9,6,7,Amos Diggory
5,8,8,1,7,5,1,5,7,9,8,8,Albus Dumbledore
3,3,7,3,8,7,2,4,2,8,7,6,Seamus Finnigan
2,2,5,8,6,4,1,3,2,10,6,6,Marcus Flint
5,7,7,6,8,8,5,7,7,9,9,9,Filius Flitwick 
1,8,4,3,8,7,3,1,1,4,5,7,Cornelius Fudge
3,2,4,8,7,3,1,3,3,3,4,5,Gellert Grindelwald 
2,3,5,6,10,5,3,2,7,7,3,2,Godric Gryffindor 
6,7,6,6,6,7,4,4,2,4,4,3,Rubeus Hagrid 
5,4,5,5,6,6,2,4,6,10,8,9,Rolanda Hooch 
4,5,6,3,7,6,2,6,5,8,8,7,Helga Hufflepuff
2,5,5,1,7,4,2,5,8,7,9,5,Hermione Granger
1,2,5,6,8,6,1,1,4,9,10,6,Igor Karkaroff 
6,4,5,6,6,7,4,4,6,7,6,7,Viktor Krum
4,3,4,5,5,4,2,2,5,10,6,6,Silvanus Kettleburn 
5,5,7,6,8,2,2,3,4,7,8,7,Bellatrix Lestrange
3,4,5,5,6,5,5,5,4,7,7,3,Neville Longbottom
4,3,7,5,8,8,2,4,5,9,7,5,Xenophilius Lovegood 
3,1,4,6,9,6,4,8,7,3,6,5,Remus Lupin
8,3,5,5,8,7,5,6,6,10,8,8,Draco Malfoy
3,4,1,1,10,10,2,1,8,5,8,9,Ernie Macmillan
7,3,4,8,8,6,4,7,8,9,9,9,Minerva McGonagall
2,5,3,3,3,2,1,1,7,7,8,4,Cormac McLaggen
3,4,6,8,8,2,1,3,7,9,10,3,Graham Montague
4,5,5,8,8,6,4,4,3,6,7,9,Theodore Nott
1,4,6,3,8,5,1,2,7,9,9,7,Garrick Ollivander 
8,8,7,7,9,8,8,6,6,8,9,6,Pansy Parkinson
4,5,6,2,6,3,3,3,8,10,8,4,Peter Pettigrew 
1,3,3,5,4,1,1,1,6,8,7,3,Antioch Peverell
4,8,5,10,9,3,1,3,7,6,8,1,Irma Pince
2,2,3,3,4,1,1,2,3,7,7,2,Sturgis Podmore 
5,4,5,3,7,7,3,4,4,8,8,3,Poppy Pomfrey 
4,3,7,2,8,2,3,3,3,3,8,2,Harry Potter 
4,8,3,8,5,1,3,4,8,7,7,2,James Potter 
4,6,5,6,6,3,4,4,7,8,9,2,Lily Potter
6,2,7,8,9,7,7,7,3,7,7,6,Quirinus Quirrell
7,7,8,8,7,5,5,6,6,7,5,5,Helena Ravenclaw
6,3,4,5,8,6,2,6,6,7,3,5,Rowena Ravenclaw
3,3,5,5,8,5,2,3,5,10,10,5,Tom Marvolo Riddle
3,6,6,4,10,7,5,5,5,8,9,8,Demelza Robins 
