Information Visualization,statistical,mathematics,drawing & artistic,computer usage,programming,graphics,hci,experience evaluation,communication,collaboration,code repository,Alias
6,5,6,1,7,7,8,7,9,9,6,7,Amos Diggory
2,4,5,7,10,7,6,6,8,10,10,5,Reginald Cattermole
2,6,5,7,4,1,1,2,8,10,9,7,Michael Corner
2,7,7,9,9,8,4,9,8,9,9,9,Fleur Delacour 
2,5,5,1,7,4,2,5,8,7,9,5,Hermione Granger
3,4,1,1,10,10,2,1,8,5,8,9,Ernie Macmillan
7,3,4,8,8,6,4,7,8,9,9,9,Minerva McGonagall
4,5,6,2,6,3,3,3,8,10,8,4,Peter Pettigrew 
4,8,3,8,5,1,3,4,8,7,7,2,James Potter 
5,8,8,1,7,5,1,5,7,9,8,8,Albus Dumbledore
5,7,7,6,8,8,5,7,7,9,9,9,Filius Flitwick 
2,3,5,6,10,5,3,2,7,7,3,2,Godric Gryffindor 
3,1,4,6,9,6,4,8,7,3,6,5,Remus Lupin
2,5,3,3,3,2,1,1,7,7,8,4,Cormac McLaggen
3,4,6,8,8,2,1,3,7,9,10,3,Graham Montague
1,4,6,3,8,5,1,2,7,9,9,7,Garrick Ollivander 
4,8,5,10,9,3,1,3,7,6,8,1,Irma Pince
4,6,5,6,6,3,4,4,7,8,9,2,Lily Potter
